job_title,yearly_salary,place,seniority,degree
品牌公关,20k-30k,北京 朝阳区 朝阳路,3-5年,本科
全栈研发工程师（nodejs方向）,10k-20k,北京 海淀区 上地,经验不限,本科
电商运营,10k-20k,北京 朝阳区 望京,1-3年,本科
会展3D设计师,10k-15k,北京 海淀区 木樨地,3-5年,本科
社群运营主管,15k-30k,北京 朝阳区 奥运村,3-5年,大专
Hadoop开发工程师,15k-30k,北京 朝阳区 呼家楼,5-10年,本科
PHP高级软件工程师,12k-24k,北京 朝阳区 四惠,1-3年,本科
视觉设计经理,18k-30k,北京 朝阳区 建国门,5-10年,本科
新媒体运营主编,10k-15k,北京 大兴区 亦庄,3-5年,本科
产品经理,12k-20k,北京 海淀区 北沙滩,1-3年,大专
网络经理人,10k-11k,北京 朝阳区 定福庄,3-5年,大专
网络爬虫研发工程师,15k-25k,北京 朝阳区 呼家楼,5-10年,本科
主编,20k-25k,北京 朝阳区 建国门,5-10年,本科
视觉设计师,10k-20k,北京 海淀区 西二旗,3-5年,本科
小游戏开发工程师,12k-15k,北京 朝阳区 北苑,1-3年,本科
创意文案,10k-15k,北京  ,1年以内,本科
区块链研发工程师,15k-28k,北京 海淀区 苏州街,1-3年,本科
原画师，舞美设计师,10k-20k,北京 丰台区 新发地,1-3年,本科
高级项目经理,10k-13k,北京 朝阳区 四惠,1-3年,大专
产品经理,10k-15k,北京 朝阳区 呼家楼,3-5年,本科
文案,4k-6k,武汉 江汉区 常青路,1-3年,本科
文案,4k-8k,天津 河西区 小海地,3-5年,本科
文案,7k-10k,北京 朝阳区 常营,1-3年,本科
文案,3k-5k,泉州  ,经验不限,大专
文案,6k-12k,广州 番禺区 ,1-3年,学历不限
策划文案,3k-5k,汕头  ,1-3年,本科
文案,8k-10k,北京 朝阳区 朝外,3-5年,本科
